,Item to Item,Duration
275,"('Chewy Bars', 'Pepsi (12)')",19.0
276,"('Chewy Bars', 'Seltzer (6)')",12.5
277,"('Chewy Bars', 'Bottled Water (24)')",11.0
278,"('Chewy Bars', 'Milk Gallon')",19.5
279,"('Chewy Bars', 'Butter Sticks')",17.5
280,"('Chewy Bars', 'Cookie Dough')",17.0
281,"('Chewy Bars', 'Chobani (4)')",15.5
282,"('Chewy Bars', 'Eggs (12)')",12.5
283,"('Chewy Bars', 'Waffles')",14.5
284,"('Chewy Bars', 'Taquitos')",18.5
285,"('Chewy Bars', ""Breyer's Ice Cream"")",19.5
286,"('Chewy Bars', 'Lasagna')",17.5
287,"('Chewy Bars', 'Bagel Bites')",16.5
288,"('Chewy Bars', 'Pizza (12"")')",13.5
289,"('Chewy Bars', 'End Node')",9.0
290,"('Granola', 'Start Node')",10.0
291,"('Granola', 'Coffee Beans')",8.5
292,"('Granola', 'K-Cups')",6.5
293,"('Granola', 'Capt. Crunch')",3.5
294,"('Granola', 'Chewy Bars')",1.0
295,"('Granola', 'Granola')",0.0
296,"('Granola', ""Hershey's"")",4.5
297,"('Granola', 'Flour')",6.5
298,"('Granola', 'Syrup')",7.5
299,"('Granola', 'Brownie Mix')",10.5
300,"('Granola', 'Seasoning')",12.0
301,"('Granola', 'Soup')",11.5
302,"('Granola', 'Mac & Cheese')",9.5
303,"('Granola', 'Ketchup')",6.5
304,"('Granola', 'Pickles')",6.0
305,"('Granola', 'Italian Dressing')",5.5
306,"('Granola', 'Soy Sauce')",5.5
307,"('Granola', 'Penne')",6.0
308,"('Granola', 'CapriSun')",6.5
309,"('Granola', 'Tortillas')",10.5
310,"('Granola', 'Tomato Sauce')",13.5
311,"('Granola', 'Ibuprofen')",14.0
312,"('Granola', 'Diapers')",12.5
313,"('Granola', 'Tootpaste')",6.5
314,"('Granola', 'Tampons')",7.5
315,"('Granola', 'Shampoo')",6.0
316,"('Granola', 'Toilet Paper')",15.5
317,"('Granola', 'Paper Towels')",14.5
318,"('Granola', 'Napkins')",12.5
319,"('Granola', 'Solo Cups')",10.5
320,"('Granola', 'Trash Bags')",7.5
321,"('Granola', 'Dish Soap')",16.5
322,"('Granola', 'Detergent')",16.0
323,"('Granola', 'Broom')",14.5
324,"('Granola', 'Dog Treats')",11.5
325,"('Granola', 'Air Freshner')",10.5
326,"('Granola', 'Oreos')",10.5
327,"('Granola', 'Popcorn')",13.5
328,"('Granola', 'Gatorade (12)')",15.5
329,"('Granola', 'Redbull (4)')",16.0
330,"('Granola', 'Ritz')",17.5
331,"('Granola', 'Coca Cola (12)')",18.5
332,"('Granola', 'LaCroix (12)')",17.5
333,"('Granola', 'Pepsi (12)')",18.0
334,"('Granola', 'Seltzer (6)')",11.5
335,"('Granola', 'Bottled Water (24)')",10.0
336,"('Granola', 'Milk Gallon')",19.5
337,"('Granola', 'Butter Sticks')",16.5
338,"('Granola', 'Cookie Dough')",16.0
339,"('Granola', 'Chobani (4)')",14.5
340,"('Granola', 'Eggs (12)')",11.5
341,"('Granola', 'Waffles')",13.5
342,"('Granola', 'Taquitos')",17.5
343,"('Granola', ""Breyer's Ice Cream"")",18.5
344,"('Granola', 'Lasagna')",16.5
345,"('Granola', 'Bagel Bites')",15.5
346,"('Granola', 'Pizza (12"")')",12.5
347,"('Granola', 'End Node')",10.0
348,"(""Hershey's"", 'Start Node')",9.5
349,"(""Hershey's"", 'Coffee Beans')",11.0
350,"(""Hershey's"", 'K-Cups')",11.0
351,"(""Hershey's"", 'Capt. Crunch')",8.0
352,"(""Hershey's"", 'Chewy Bars')",5.5
353,"(""Hershey's"", 'Granola')",4.5
354,"(""Hershey's"", ""Hershey's"")",0.0
355,"(""Hershey's"", 'Flour')",2.0
356,"(""Hershey's"", 'Syrup')",3.0
357,"(""Hershey's"", 'Brownie Mix')",6.0
358,"(""Hershey's"", 'Seasoning')",7.5
359,"(""Hershey's"", 'Soup')",12.0
360,"(""Hershey's"", 'Mac & Cheese')",10.0
361,"(""Hershey's"", 'Ketchup')",7.0
362,"(""Hershey's"", 'Pickles')",6.5
363,"(""Hershey's"", 'Italian Dressing')",6.0
364,"(""Hershey's"", 'Soy Sauce')",6.0
365,"(""Hershey's"", 'Penne')",6.5
366,"(""Hershey's"", 'CapriSun')",7.0
367,"(""Hershey's"", 'Tortillas')",11.0
368,"(""Hershey's"", 'Tomato Sauce')",12.0
369,"(""Hershey's"", 'Ibuprofen')",13.5
370,"(""Hershey's"", 'Diapers')",13.0
371,"(""Hershey's"", 'Tootpaste')",7.0
372,"(""Hershey's"", 'Tampons')",8.0
373,"(""Hershey's"", 'Shampoo')",6.5
374,"(""Hershey's"", 'Toilet Paper')",14.0
375,"(""Hershey's"", 'Paper Towels')",15.0
376,"(""Hershey's"", 'Napkins')",13.0
377,"(""Hershey's"", 'Solo Cups')",11.0
378,"(""Hershey's"", 'Trash Bags')",8.0
379,"(""Hershey's"", 'Dish Soap')",15.0
380,"(""Hershey's"", 'Detergent')",15.5
381,"(""Hershey's"", 'Broom')",15.0
382,"(""Hershey's"", 'Dog Treats')",12.0
383,"(""Hershey's"", 'Air Freshner')",11.0
384,"(""Hershey's"", 'Oreos')",11.0
385,"(""Hershey's"", 'Popcorn')",14.0
386,"(""Hershey's"", 'Gatorade (12)')",16.0
387,"(""Hershey's"", 'Redbull (4)')",16.5
388,"(""Hershey's"", 'Ritz')",16.0
389,"(""Hershey's"", 'Coca Cola (12)')",17.0
390,"(""Hershey's"", 'LaCroix (12)')",18.0
391,"(""Hershey's"", 'Pepsi (12)')",17.5
392,"(""Hershey's"", 'Seltzer (6)')",12.0
393,"(""Hershey's"", 'Bottled Water (24)')",10.5
394,"(""Hershey's"", 'Milk Gallon')",18.0
395,"(""Hershey's"", 'Butter Sticks')",17.0
396,"(""Hershey's"", 'Cookie Dough')",16.5
397,"(""Hershey's"", 'Chobani (4)')",15.0
398,"(""Hershey's"", 'Eggs (12)')",12.0
399,"(""Hershey's"", 'Waffles')",14.0
400,"(""Hershey's"", 'Taquitos')",18.0
401,"(""Hershey's"", ""Breyer's Ice Cream"")",19.0
402,"(""Hershey's"", 'Lasagna')",17.0
403,"(""Hershey's"", 'Bagel Bites')",16.0
404,"(""Hershey's"", 'Pizza (12"")')",13.0
405,"(""Hershey's"", 'End Node')",9.5
406,"('Flour', 'Start Node')",7.5
407,"('Flour', 'Coffee Beans')",9.0
408,"('Flour', 'K-Cups')",11.0
409,"('Flour', 'Capt. Crunch')",10.0
410,"('Flour', 'Chewy Bars')",7.5
411,"('Flour', 'Granola')",6.5
412,"('Flour', ""Hershey's"")",2.0
413,"('Flour', 'Flour')",0.0
414,"('Flour', 'Syrup')",1.0
415,"('Flour', 'Brownie Mix')",4.0
416,"('Flour', 'Seasoning')",5.5
417,"('Flour', 'Soup')",10.0
418,"('Flour', 'Mac & Cheese')",12.0
419,"('Flour', 'Ketchup')",9.0
420,"('Flour', 'Pickles')",8.5
421,"('Flour', 'Italian Dressing')",8.0
422,"('Flour', 'Soy Sauce')",8.0
423,"('Flour', 'Penne')",8.5
424,"('Flour', 'CapriSun')",9.0
425,"('Flour', 'Tortillas')",13.0
426,"('Flour', 'Tomato Sauce')",10.0
427,"('Flour', 'Ibuprofen')",11.5
428,"('Flour', 'Diapers')",13.0
429,"('Flour', 'Tootpaste')",9.0
430,"('Flour', 'Tampons')",10.0
431,"('Flour', 'Shampoo')",8.5
432,"('Flour', 'Toilet Paper')",12.0
433,"('Flour', 'Paper Towels')",13.0
434,"('Flour', 'Napkins')",15.0
435,"('Flour', 'Solo Cups')",13.0
436,"('Flour', 'Trash Bags')",10.0
437,"('Flour', 'Dish Soap')",13.0
438,"('Flour', 'Detergent')",13.5
439,"('Flour', 'Broom')",15.0
440,"('Flour', 'Dog Treats')",14.0
441,"('Flour', 'Air Freshner')",13.0
442,"('Flour', 'Oreos')",13.0
443,"('Flour', 'Popcorn')",16.0
444,"('Flour', 'Gatorade (12)')",16.0
445,"('Flour', 'Redbull (4)')",15.5
446,"('Flour', 'Ritz')",14.0
447,"('Flour', 'Coca Cola (12)')",15.0
448,"('Flour', 'LaCroix (12)')",16.0
449,"('Flour', 'Pepsi (12)')",15.5
450,"('Flour', 'Seltzer (6)')",14.0
451,"('Flour', 'Bottled Water (24)')",12.5
452,"('Flour', 'Milk Gallon')",16.0
453,"('Flour', 'Butter Sticks')",19.0
454,"('Flour', 'Cookie Dough')",18.5
455,"('Flour', 'Chobani (4)')",17.0
456,"('Flour', 'Eggs (12)')",14.0
457,"('Flour', 'Waffles')",16.0
458,"('Flour', 'Taquitos')",20.0
459,"('Flour', ""Breyer's Ice Cream"")",19.0
460,"('Flour', 'Lasagna')",19.0
461,"('Flour', 'Bagel Bites')",18.0
462,"('Flour', 'Pizza (12"")')",15.0
463,"('Flour', 'End Node')",7.5
464,"('Syrup', 'Start Node')",6.5
465,"('Syrup', 'Coffee Beans')",8.0
466,"('Syrup', 'K-Cups')",10.0
467,"('Syrup', 'Capt. Crunch')",11.0
468,"('Syrup', 'Chewy Bars')",8.5
469,"('Syrup', 'Granola')",7.5
470,"('Syrup', ""Hershey's"")",3.0
471,"('Syrup', 'Flour')",1.0
472,"('Syrup', 'Syrup')",0.0
473,"('Syrup', 'Brownie Mix')",3.0
474,"('Syrup', 'Seasoning')",4.5
475,"('Syrup', 'Soup')",9.0
476,"('Syrup', 'Mac & Cheese')",11.0
477,"('Syrup', 'Ketchup')",10.0
478,"('Syrup', 'Pickles')",9.5
479,"('Syrup', 'Italian Dressing')",9.0
480,"('Syrup', 'Soy Sauce')",9.0
481,"('Syrup', 'Penne')",9.5
482,"('Syrup', 'CapriSun')",10.0
483,"('Syrup', 'Tortillas')",12.0
484,"('Syrup', 'Tomato Sauce')",9.0
485,"('Syrup', 'Ibuprofen')",10.5
486,"('Syrup', 'Diapers')",12.0
487,"('Syrup', 'Tootpaste')",10.0
488,"('Syrup', 'Tampons')",11.0
489,"('Syrup', 'Shampoo')",9.5
490,"('Syrup', 'Toilet Paper')",11.0
491,"('Syrup', 'Paper Towels')",12.0
492,"('Syrup', 'Napkins')",14.0
493,"('Syrup', 'Solo Cups')",14.0
494,"('Syrup', 'Trash Bags')",11.0
495,"('Syrup', 'Dish Soap')",12.0
496,"('Syrup', 'Detergent')",12.5
497,"('Syrup', 'Broom')",14.0
498,"('Syrup', 'Dog Treats')",15.0
499,"('Syrup', 'Air Freshner')",14.0
500,"('Syrup', 'Oreos')",14.0
501,"('Syrup', 'Popcorn')",17.0
502,"('Syrup', 'Gatorade (12)')",15.0
503,"('Syrup', 'Redbull (4)')",14.5
504,"('Syrup', 'Ritz')",13.0
505,"('Syrup', 'Coca Cola (12)')",14.0
506,"('Syrup', 'LaCroix (12)')",15.0
507,"('Syrup', 'Pepsi (12)')",14.5
508,"('Syrup', 'Seltzer (6)')",15.0
509,"('Syrup', 'Bottled Water (24)')",13.5
510,"('Syrup', 'Milk Gallon')",15.0
511,"('Syrup', 'Butter Sticks')",18.0
512,"('Syrup', 'Cookie Dough')",18.5
513,"('Syrup', 'Chobani (4)')",18.0
514,"('Syrup', 'Eggs (12)')",15.0
515,"('Syrup', 'Waffles')",17.0
516,"('Syrup', 'Taquitos')",19.0
517,"('Syrup', ""Breyer's Ice Cream"")",18.0
518,"('Syrup', 'Lasagna')",20.0
519,"('Syrup', 'Bagel Bites')",19.0
520,"('Syrup', 'Pizza (12"")')",16.0
521,"('Syrup', 'End Node')",6.5
522,"('Brownie Mix', 'Start Node')",3.5
523,"('Brownie Mix', 'Coffee Beans')",5.0
524,"('Brownie Mix', 'K-Cups')",7.0
525,"('Brownie Mix', 'Capt. Crunch')",10.0
526,"('Brownie Mix', 'Chewy Bars')",11.5
527,"('Brownie Mix', 'Granola')",10.5
528,"('Brownie Mix', ""Hershey's"")",6.0
529,"('Brownie Mix', 'Flour')",4.0
530,"('Brownie Mix', 'Syrup')",3.0
531,"('Brownie Mix', 'Brownie Mix')",0.0
532,"('Brownie Mix', 'Seasoning')",1.5
533,"('Brownie Mix', 'Soup')",6.0
534,"('Brownie Mix', 'Mac & Cheese')",8.0
535,"('Brownie Mix', 'Ketchup')",11.0
536,"('Brownie Mix', 'Pickles')",11.5
537,"('Brownie Mix', 'Italian Dressing')",12.0
538,"('Brownie Mix', 'Soy Sauce')",12.0
539,"('Brownie Mix', 'Penne')",12.5
540,"('Brownie Mix', 'CapriSun')",13.0
541,"('Brownie Mix', 'Tortillas')",9.0
542,"('Brownie Mix', 'Tomato Sauce')",6.0
543,"('Brownie Mix', 'Ibuprofen')",7.5
544,"('Brownie Mix', 'Diapers')",9.0
545,"('Brownie Mix', 'Tootpaste')",13.0
546,"('Brownie Mix', 'Tampons')",14.0
547,"('Brownie Mix', 'Shampoo')",12.5
548,"('Brownie Mix', 'Toilet Paper')",8.0
549,"('Brownie Mix', 'Paper Towels')",9.0
550,"('Brownie Mix', 'Napkins')",11.0
551,"('Brownie Mix', 'Solo Cups')",13.0
552,"('Brownie Mix', 'Trash Bags')",14.0
553,"('Brownie Mix', 'Dish Soap')",9.0
554,"('Brownie Mix', 'Detergent')",9.5
555,"('Brownie Mix', 'Broom')",11.0
556,"('Brownie Mix', 'Dog Treats')",14.0
557,"('Brownie Mix', 'Air Freshner')",15.0
558,"('Brownie Mix', 'Oreos')",17.0
559,"('Brownie Mix', 'Popcorn')",14.0
560,"('Brownie Mix', 'Gatorade (12)')",12.0
561,"('Brownie Mix', 'Redbull (4)')",11.5
562,"('Brownie Mix', 'Ritz')",10.0
563,"('Brownie Mix', 'Coca Cola (12)')",11.0
564,"('Brownie Mix', 'LaCroix (12)')",12.0
565,"('Brownie Mix', 'Pepsi (12)')",11.5
566,"('Brownie Mix', 'Seltzer (6)')",18.0
567,"('Brownie Mix', 'Bottled Water (24)')",16.5
568,"('Brownie Mix', 'Milk Gallon')",12.0
569,"('Brownie Mix', 'Butter Sticks')",15.0
570,"('Brownie Mix', 'Cookie Dough')",15.5
571,"('Brownie Mix', 'Chobani (4)')",17.0
572,"('Brownie Mix', 'Eggs (12)')",18.0
